,Date,Close
1711,2014-05-27,10.87
1712,2014-05-28,11.12
1713,2014-05-29,10.94
1714,2014-05-30,10.69
1715,2014-06-02,11.08
1716,2014-06-03,11.21
1717,2014-06-04,11.44
1718,2014-06-05,11.27
1719,2014-06-06,10.48
1720,2014-06-09,10.72
1721,2014-06-10,10.68
1722,2014-06-11,11.25
1723,2014-06-12,11.97
1724,2014-06-13,11.79
1725,2014-06-16,12.27
1726,2014-06-17,11.96
1727,2014-06-18,10.58
1728,2014-06-19,10.44
1729,2014-06-20,10.6
1730,2014-06-23,10.19
1731,2014-06-24,11.17
1732,2014-06-25,11.02
1733,2014-06-26,11.15
1734,2014-06-27,11.02
1735,2014-06-30,11.06
1736,2014-07-01,10.47
1737,2014-07-02,10.18
1738,2014-07-03,9.71
1739,2014-07-07,10.75
1740,2014-07-08,11.21
1741,2014-07-09,10.79
1742,2014-07-10,11.75
1743,2014-07-11,11.21
1744,2014-07-14,10.82
1745,2014-07-15,11.16
1746,2014-07-16,10.3
1747,2014-07-17,13.35
1748,2014-07-18,11.59
1749,2014-07-21,12.01
1750,2014-07-22,11.43
1751,2014-07-23,11.3
1752,2014-07-24,11.39
1753,2014-07-25,12.04
1754,2014-07-28,12.01
1755,2014-07-29,12.56
1756,2014-07-30,12.7
1757,2014-07-31,15.74
1758,2014-08-01,16.11
1759,2014-08-04,14.48
1760,2014-08-05,15.73
1761,2014-08-06,15.2
1762,2014-08-07,15.63
1763,2014-08-08,14.8
1764,2014-08-11,13.71
1765,2014-08-12,13.51
1766,2014-08-13,12.37
1767,2014-08-14,11.77
1768,2014-08-15,12.83
1769,2014-08-18,11.47
1770,2014-08-19,11.2
1771,2014-08-20,10.98
1772,2014-08-21,10.73
1773,2014-08-22,10.75
1774,2014-08-25,10.83
1775,2014-08-26,10.69
1776,2014-08-27,10.7
1777,2014-08-28,11.05
1778,2014-08-29,11.37
1779,2014-09-02,11.74
1780,2014-09-03,11.79
1781,2014-09-04,12.04
1782,2014-09-05,11.5
1783,2014-09-08,11.89
1784,2014-09-09,12.61
1785,2014-09-10,12.32
1786,2014-09-11,12.27
1787,2014-09-12,12.64
1788,2014-09-15,13.12
1789,2014-09-16,12.31
1790,2014-09-17,11.77
1791,2014-09-18,10.99
1792,2014-09-19,11.03
1793,2014-09-22,12.17
1794,2014-09-23,13.39
1795,2014-09-24,12.01
1796,2014-09-25,14.02
1797,2014-09-26,13.25
1798,2014-09-29,13.93
1799,2014-09-30,14.33
1800,2014-10-01,14.76
1801,2014-10-02,14.19
1802,2014-10-03,12.98
1803,2014-10-06,13.36
1804,2014-10-07,14.86
1805,2014-10-08,13.36
1806,2014-10-09,15.7
1807,2014-10-10,17.11
1808,2014-10-13,16.66
1809,2014-10-14,15.92
1810,2014-10-15,17.4
1811,2014-10-16,19.63
1812,2014-10-17,17.06
1813,2014-10-20,16.78
1814,2014-10-21,14.69
1815,2014-10-22,16.23
1816,2014-10-23,15.27
1817,2014-10-24,14.91
1818,2014-10-27,14.97
1819,2014-10-28,13.71
1820,2014-10-29,13.73
1821,2014-10-30,13.53
1822,2014-10-31,13.21
1823,2014-11-03,13.99
1824,2014-11-04,14.02
1825,2014-11-05,13.46
1826,2014-11-06,13.14
1827,2014-11-07,12.61
1828,2014-11-10,12.44
1829,2014-11-11,12.61
1830,2014-11-12,12.85
1831,2014-11-13,12.85
1832,2014-11-14,12.82
